condition_label,n_runs,n_solved,solve_rate_pct,terminal_reward_mean_std,terminal_reward_median,episodes_to_learn_mean_std,episodes_to_learn_median
Discrete / No Centering,20,1,5.0,65.82 +/- 51.27,52.625,654.00 +/- nan,654.0
Discrete / Simple Centering,20,15,75.0,216.81 +/- 52.17,216.565,759.47 +/- 142.04,745.0
Discrete / Value Centering,20,0,0.0,142.81 +/- 63.14,112.865,NA,
PlaceSSP / No Centering,20,19,95.0,467.33 +/- 110.58,498.96000000000004,416.42 +/- 159.91,386.0
PlaceSSP / Simple Centering,20,20,100.0,485.26 +/- 51.05,497.745,370.60 +/- 109.94,355.0
PlaceSSP / Value Centering,20,18,90.0,487.36 +/- 32.89,499.635,688.22 +/- 138.76,694.0
TileCoding / No Centering,20,0,0.0,393.06 +/- 11.10,393.02,NA,
TileCoding / Simple Centering,20,0,0.0,408.64 +/- 61.52,413.90999999999997,NA,
TileCoding / Value Centering,20,0,0.0,388.20 +/- 34.39,386.81,NA,
