condition_label,n_runs,n_solved,solve_rate_pct,terminal_reward_mean_std,terminal_reward_median,episodes_to_learn_mean_std,episodes_to_learn_median
Discrete / No Centering,20,1,5.0,65.82 +/- 51.27,52.625,654.00 +/- nan,654.0
Discrete / Simple Centering,20,15,75.0,216.81 +/- 52.17,216.565,759.47 +/- 142.04,745.0
Discrete / Value Centering,20,5,25.0,132.54 +/- 38.94,119.045,786.40 +/- 185.17,808.0
PlaceSSP / No Centering,20,19,95.0,467.33 +/- 110.58,498.96000000000004,416.42 +/- 159.91,386.0
PlaceSSP / Simple Centering,20,20,100.0,485.26 +/- 51.05,497.745,370.60 +/- 109.94,355.0
PlaceSSP / Value Centering,20,18,90.0,212.50 +/- 77.08,204.235,297.78 +/- 84.16,285.5
